Code,Company,Market,Index,Price,SEDOL,ISIN,Exchange,Bloomberg,Tier,Currency,IndLoanRate,RepoRate,almRate,LCR,RWA,BorrowRate
XENT,INTERSECT ENT INC,US,Russell 2000,30.38,BP7RS48,US46071F1030,NASDAQ,XENT:US,3,USD,0.12,0.14,0.05,0.08,0.19,0.04
FFIC,FLUSHING FINANCIAL CORP,US,Russell 2000,27.71,2360111,US3438731057,NASDAQ,FFIC:US,3,USD,0.21,0.22,0.03,0.05,0.04,0.21
SNDR,SCHNEIDER NATIONAL INC CLASS B,US,Russell 2000,23.62,BYVN953,US80689H1023,New York Stock Exchange Inc.,SNDR:US,3,USD,0.09,0.17,0.06,0.09,0.19,0.15
CPLA,CAPELLA EDUCATION,US,Russell 2000,67.4,B0GWDP5,US1395941057,NASDAQ,CPLA:US,3,USD,0.03,0.04,0.16,0.2,0.18,0.13
STC,STEWART INFO SERVICES CORP,US,Russell 2000,35.92,2848736,US8603721015,New York Stock Exchange Inc.,STC:US,3,USD,0.06,0.13,0.21,0.16,0.2,0.19
SRCE,1ST SOURCE CORP,US,Russell 2000,47.53,2341848,US3369011032,NASDAQ,SRCE:US,3,USD,0.02,0.16,0.16,0.16,0.05,0.2
QSII,QUALITY SYSTEMS INC,US,Russell 2000,14.69,2715391,US7475821044,NASDAQ,QSII:US,3,USD,0.02,0.12,0.07,0.13,0.13,0.2
SYBT,STOCK YARDS BANCORP INC,US,Russell 2000,35.25,BLY2FB4,US8610251048,NASDAQ,SYBT:US,3,USD,0.19,0.21,0.08,0.06,0.08,0.1
VRTS,VIRTUS INVESTMENT PARTNERS INC,US,Russell 2000,111.9,B3KKGQ8,US92828Q1094,NASDAQ,VRTS:US,3,USD,0.04,0.22,0.02,0.21,0.14,0.07
TRST,TRUSTCO BANK CORP,US,Russell 2000,8.25,2906429,US8983491056,NASDAQ,TRST:US,3,USD,0.1,0.08,0.12,0.11,0.16,0.21
CLW,CLEARWATER PAPER CORP,US,Russell 2000,47.25,B3K9Z35,US18538R1032,New York Stock Exchange Inc.,CLW:US,3,USD,0.16,0.13,0.14,0.14,0.03,0.01
SNR,NEW SENIOR INVESTMENT GROUP INC,US,Russell 2000,9.14,BRWZXS0,US6486911034,New York Stock Exchange Inc.,SNR:US,3,USD,0.08,0.02,0.08,0.07,0.03,0.13
HY,HYSTER YALE MATERIALS HANDLING INC,US,Russell 2000,73.84,B7LG306,US4491721050,New York Stock Exchange Inc.,HY:US,3,USD,0.01,0.19,0.12,0.12,0.1,0.12
MTRN,MATERION CORP,US,Russell 2000,38.75,2149622,US5766901012,New York Stock Exchange Inc.,MTRN:US,3,USD,0.2,0.08,0.01,0.01,0.07,0.19
RTEC,RUDOLPH TECHNOLOGIES INC,US,Russell 2000,24.35,2518415,US7812701032,New York Stock Exchange Inc.,RTEC:US,3,USD,0.07,0.01,0.17,0.03,0.18,0.2
MGPI,MGP INGREDIENTS INC,US,Russell 2000,58.27,B6ZJTH3,US55303J1060,NASDAQ,MGPI:US,3,USD,0.13,0.01,0.17,0.2,0.03,0.21
NCI,NAVIGANT CONSULTING INC,US,Russell 2000,16.02,2564797,US63935N1072,New York Stock Exchange Inc.,NCI:US,3,USD,0.02,0.04,0.08,0.07,0.16,0.2
CMCO,COLUMBUS MCKINNON CORP,US,Russell 2000,34.88,2211071,US1993331057,NASDAQ,CMCO:US,3,USD,0.12,0.13,0.12,0.02,0.14,0.13
GABC,GERMAN AMERICAN BANCORP INC,US,Russell 2000,35.12,2502151,US3738651047,NASDAQ,GABC:US,3,USD,0.11,0.07,0.14,0.22,0.18,0.1
CTS,CTS CORP,US,Russell 2000,23.05,2239244,US1265011056,New York Stock Exchange Inc.,CTS:US,3,USD,0.08,0.06,0.02,0.04,0.2,0.05
NNBR,NN INC,US,Russell 2000,27.7,2620558,US6293371067,NASDAQ,NNBR:US,3,USD,0.14,0.07,0.18,0.07,0.04,0.09
CRAY,CRAY INC,US,Russell 2000,18.8,B16NWY7,US2252233042,NASDAQ,CRAY:US,3,USD,0.11,0.06,0.14,0.02,0.09,0.12
ETH,ETHAN ALLEN INC,US,Russell 2000,30.7,2320825,US2976021046,New York Stock Exchange Inc.,ETH:US,3,USD,0.18,0.08,0.2,0.06,0.06,0.02
ACLS,AXCELIS TECHNOLOGIES INC,US,Russell 2000,24.9,BD420Q8,US0545402085,NASDAQ,ACLS:US,3,USD,0.01,0.06,0.11,0.01,0.11,0.21
EDIT,EDITAS MEDICINE INC,US,Russell 2000,22.03,BZ8FPH3,US28106W1036,NASDAQ,EDIT:US,3,USD,0.22,0.03,0.04,0.13,0.14,0.14
GOGO,GOGO INC,US,Russell 2000,13.28,BB2C2R1,US38046C1099,NASDAQ,GOGO:US,3,USD,0.12,0.16,0.04,0.2,0.1,0.18
AEGN,AEGION CORP,US,Russell 2000,22.6,B764L34,US00770F1049,NASDAQ,AEGN:US,3,USD,0.15,0.21,0.14,0.16,0.14,0.17
SCHN,SCHNITZER STEEL INDUSTRIES INC CLA,US,Russell 2000,27.7,2821298,US8068821060,NASDAQ,SCHN:US,3,USD,0.09,0.1,0.12,0.08,0.11,0.11
DEA,EASTERLY GOVERNMENT PROPERTIES INC,US,Russell 2000,20.03,BVSS693,US27616P1030,New York Stock Exchange Inc.,DEA:US,3,USD,0.14,0.2,0.16,0.2,0.2,0.01
STNG,SCORPIO TANKERS INC,US,Russell 2000,3.47,B62ZTB8,MHY7542C1066,New York Stock Exchange Inc.,STNG:US,3,USD,0.06,0.12,0.22,0.01,0.12,0.15
IRT,INDEPENDENCE REALTY INC TRUST,US,Russell 2000,10.3,BCRYTK1,US45378A1060,New York Stock Exchange Inc.,IRT:US,3,USD,0.14,0.1,0.1,0.22,0.02,0.13
NX,QUANEX BUILDING PRODUCTS CORP,US,Russell 2000,21.25,B2QXCJ9,US7476191041,New York Stock Exchange Inc.,NX:US,3,USD,0.09,0.12,0.08,0.18,0.14,0.22
LPSN,LIVEPERSON INC,US,Russell 2000,13.65,2577052,US5381461012,NASDAQ,LPSN:US,3,USD,0.21,0.08,0.07,0.18,0.15,0.02
FBC,FLAGSTAR BANCORP INC,US,Russell 2000,33.66,B7SVZ97,US3379307057,New York Stock Exchange Inc.,FBC:US,3,USD,0.08,0.12,0.07,0.18,0.07,0.04
NYMT,NEW YORK MORTGAGE TRUST REIT INC T,US,Russell 2000,6.41,B01LWM7,US6496045013,NASDAQ,NYMT:US,3,USD,0.18,0.09,0.04,0.18,0.14,0.12
JAG,JAGGED PEAK ENERGY INC,US,Russell 2000,12.66,BDRW1M8,US47009K1079,New York Stock Exchange Inc.,JAG:US,3,USD,0.06,0.02,0.13,0.13,0.22,0.04
INST,INSTRUCTURE INC,US,Russell 2000,33.75,BYZGBP2,US45781U1034,New York Stock Exchange Inc.,INST:US,3,USD,0.17,0.06,0.08,0.18,0.07,0.08
FLXN,FLEXION THERAPEUTICS INC,US,Russell 2000,26,BJ36RM8,US33938J1060,NASDAQ,FLXN:US,3,USD,0.22,0.12,0.05,0.05,0.07,0.06
HT,HERSHA HOSPITALITY REIT TRUST CLAS,US,Russell 2000,18.37,BYYTSK6,US4278255009,New York Stock Exchange Inc.,HT:US,3,USD,0.18,0.13,0.16,0.17,0.19,0.04
TCBK,TRICO BANCSHARES,US,Russell 2000,35.19,2904133,US8960951064,NASDAQ,TCBK:US,3,USD,0.05,0.02,0.08,0.14,0.13,0.07
HURN,HURON CONSULTING GROUP INC,US,Russell 2000,32.8,B018V76,US4474621020,NASDAQ,HURN:US,3,USD,0.02,0.19,0.12,0.16,0.07,0.02
CZR,CAESARS ENTERTAINMENT CORP,US,Russell 2000,12.4,B3TDL41,US1276861036,NASDAQ,CZR:US,3,USD,0.15,0.14,0.13,0.21,0.16,0.19
FFG,FBL FINANCIAL GROUP INC CLASS A,US,Russell 2000,70,2329082,US30239F1066,New York Stock Exchange Inc.,FFG:US,3,USD,0.01,0.22,0.01,0.17,0.15,0.03
NEWM,NEW MEDIA INVESTMENT GROUP INC,US,Russell 2000,13.84,BH2R795,US64704V1061,New York Stock Exchange Inc.,NEWM:US,3,USD,0.16,0.14,0.2,0.05,0.22,0.15
PI,IMPINJ INC,US,Russell 2000,39.55,BYYGJZ9,US4532041096,NASDAQ,PI:US,3,USD,0.09,0.13,0.07,0.14,0.22,0.08
CAMP,CALAMP CORP,US,Russell 2000,20.2,2164700,US1281261099,NASDAQ,CAMP:US,3,USD,0.13,0.17,0.14,0.01,0.13,0.1
IRET,INVESTORS REAL ESTATE TRUST REIT T,US,Russell 2000,5.81,2652603,US4617301035,New York Stock Exchange Inc.,IRET:US,3,USD,0.2,0.18,0.12,0.03,0.02,0.19
CRY,CRYOLIFE INC,US,Russell 2000,22.1,2239017,US2289031005,New York Stock Exchange Inc.,CRY:US,3,USD,0.09,0.12,0.14,0.05,0.22,0.13
PEI,PENNSYLVANIA REAL ESTATE INVESTMEN,US,Russell 2000,10.04,2680767,US7091021078,New York Stock Exchange Inc.,PEI:US,3,USD,0.07,0.06,0.12,0.15,0.01,0.17
CCF,CHASE CORP,US,Russell 2000,99.45,2212289,US16150R1041,Nyse Mkt Llc,CCF:US,3,USD,0.06,0.21,0.08,0.09,0.07,0.15
KELYA,KELLY SERVICES INC CLASS A,US,Russell 2000,22.98,2487117,US4881522084,NASDAQ,KELYA:US,3,USD,0.02,0.01,0.18,0.21,0.06,0.11
PHH,PHH CORP,US,Russell 2000,13.3,B05JV20,US6933202029,New York Stock Exchange Inc.,PHH:US,3,USD,0.11,0.02,0.17,0.06,0.1,0.01
SHAK,SHAKE SHACK INC CLASS A,US,Russell 2000,31.9,BV0LCR0,US8190471016,New York Stock Exchange Inc.,SHAK:US,3,USD,0.21,0.14,0.01,0.01,0.12,0.22
USPH,US PHYSICAL THERAPY INC,US,Russell 2000,58.75,2911166,US90337L1089,New York Stock Exchange Inc.,USPH:US,3,USD,0.1,0.07,0.07,0.19,0.11,0.2
ATRC,ATRICURE INC,US,Russell 2000,21.51,B0C8KV2,US04963C2098,NASDAQ,ATRC:US,3,USD,0.07,0.09,0.16,0.03,0.05,0.16
CTRL,CONTROL4 CORP,US,Russell 2000,28.78,BC163D4,US21240D1072,NASDAQ,CTRL:US,3,USD,0.22,0.14,0.22,0.13,0.07,0.06
MRTN,MARTEN TRANSPORT LTD,US,Russell 2000,18.25,2568357,US5730751089,NASDAQ,MRTN:US,3,USD,0.09,0.07,0.1,0.21,0.22,0.05
WMS,ADVANCED DRAINAGE SYSTEMS INC,US,Russell 2000,19.65,BP7RS59,US00790R1041,New York Stock Exchange Inc.,WMS:US,3,USD,0.01,0.17,0.09,0.14,0.08,0.16
BMTC,BRYN MAWR BANK CORP,US,Russell 2000,41.1,2619642,US1176651099,NASDAQ,BMTC:US,3,USD,0.13,0.22,0.16,0.07,0.2,0.02
TLRD,TAILORED BRANDS INC,US,Russell 2000,14.08,BZ8FLW0,US87403A1079,New York Stock Exchange Inc.,TLRD:US,3,USD,0.14,0.01,0.13,0.11,0.15,0.01
NFBK,NORTHFIELD BANCORP INC,US,Russell 2000,16.17,B8NB2R6,US66611T1088,NASDAQ,NFBK:US,3,USD,0.08,0.03,0.18,0.18,0.16,0.18
GLOG,GASLOG LTD,US,Russell 2000,16.9,B79J095,BMG375851091,New York Stock Exchange Inc.,GLOG:US,3,USD,0.16,0.09,0.07,0.11,0.13,0.13
PETS,PETMED EXPRESS INC,US,Russell 2000,35.35,2143099,US7163821066,NASDAQ,PETS:US,3,USD,0.12,0.06,0.05,0.02,0.1,0.21
NHC,NATIONAL HEALTHCARE CORP,US,Russell 2000,61.48,2139731,US6359061008,Nyse Mkt Llc,NHC:US,3,USD,0.04,0.11,0.19,0.12,0.14,0.08
CWST,CASELLA WASTE SYSTEMS INC CLASS A,US,Russell 2000,17.71,2120490,US1474481041,NASDAQ,CWST:US,3,USD,0.19,0.02,0.13,0.11,0.16,0.14
NRE,NORTHSTAR REALTY EUROPE CORP,US,Russell 2000,12.6,BYZBSK1,US66706L1017,New York Stock Exchange Inc.,NRE:US,3,USD,0.07,0.11,0.01,0.09,0.21,0.08
PFBC,PREFERRED BANK,US,Russell 2000,53.68,2763602,US7403674044,NASDAQ,PFBC:US,3,USD,0.18,0.21,0.06,0.2,0.19,0.04
BRSS,GLOBAL BRASS AND COPPER HOLDINGS I,US,Russell 2000,31.5,B986ZR4,US37953G1031,New York Stock Exchange Inc.,BRSS:US,3,USD,0.07,0.18,0.15,0.09,0.2,0.2
BFS,SAUL CENTERS REIT INC,US,Russell 2000,61.32,2777777,US8043951016,New York Stock Exchange Inc.,BFS:US,3,USD,0.04,0.09,0.09,0.17,0.19,0.19
ENTA,ENANTA PHARMACEUTICALS INC,US,Russell 2000,44.38,B9L5200,US29251M1062,NASDAQ,ENTA:US,3,USD,0.04,0.2,0.07,0.1,0.22,0.13
UTL,UNITIL CORP,US,Russell 2000,49.32,2925037,US9132591077,New York Stock Exchange Inc.,UTL:US,3,USD,0.18,0.09,0.22,0.15,0.06,0.01
DIN,DINEEQUITY INC,US,Russell 2000,39.35,2456957,US2544231069,New York Stock Exchange Inc.,DIN:US,3,USD,0.03,0.18,0.18,0.16,0.09,0.12
DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,US,Russell 2000,20.6,BYND5T7,US25787G1004,New York Stock Exchange Inc.,DFIN:US,3,USD,0.05,0.16,0.21,0.17,0.11,0.2
IPAR,INTER PARFUMS INC,US,Russell 2000,40.5,2473150,US4583341098,NASDAQ,IPAR:US,3,USD,0.04,0.22,0.03,0.18,0.11,0.06
CCC,CALGON CARBON CORP,US,Russell 2000,13.2,2164368,US1296031065,New York Stock Exchange Inc.,CCC:US,3,USD,0.16,0.06,0.2,0.15,0.15,0.15
SGBK,STONEGATE BANK,US,Russell 2000,49.5,B083S51,US8618111079,NASDAQ,SGBK:US,3,USD,0.17,0.2,0.02,0.22,0.06,0.19
CKH,SEACOR HOLDINGS INC,US,Russell 2000,42.92,2797838,US8119041015,New York Stock Exchange Inc.,CKH:US,3,USD,0.18,0.01,0.22,0.21,0.07,0.22
ITCI,INTRA CELLULAR THERAPIES INC,US,Russell 2000,20.19,BHCB0P4,US46116X1019,NASDAQ,ITCI:US,3,USD,0.18,0.2,0.17,0.14,0.18,0.09
CYH,COMMUNITY HEALTH SYSTEMS INC,US,Russell 2000,7.09,2600248,US2036681086,New York Stock Exchange Inc.,CYH:US,3,USD,0.22,0.13,0.19,0.02,0.13,0.05
PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,US,Russell 2000,35.85,BL95N25,US71742Q1067,NASDAQ,PAHC:US,3,USD,0.01,0.11,0.21,0.05,0.12,0.2
ORBC,ORBCOMM INC,US,Russell 2000,10.12,B19FR01,US68555P1003,NASDAQ,ORBC:US,3,USD,0.14,0.21,0.04,0.09,0.06,0.19
PJT,PJT PARTNERS INC CLASS A,US,Russell 2000,37.15,BYNWB63,US69343T1079,New York Stock Exchange Inc.,PJT:US,3,USD,0.02,0.01,0.09,0.13,0.03,0.2
CROX,CROCS INC,US,Russell 2000,9.23,B0T7Z62,US2270461096,NASDAQ,CROX:US,3,USD,0.11,0.1,0.22,0.05,0.07,0.09
CECO,CAREER EDUCATION CORP,US,Russell 2000,9.87,2143646,US1416651099,NASDAQ,CECO:US,3,USD,0.22,0.15,0.08,0.2,0.09,0.01
PGTI,PGT INNOVATIONS INC,US,Russell 2000,13.9,B17V2N9,US69336V1017,New York Stock Exchange Inc.,PGTI:US,3,USD,0.05,0.16,0.08,0.17,0.22,0.18
HRTX,HERON THERAPEUTICS INC,US,Russell 2000,14.8,BJ0XLZ3,US4277461020,NASDAQ,HRTX:US,3,USD,0.17,0.08,0.07,0.13,0.18,0.12
REN,RESOLUTE ENERGY CORP,US,Russell 2000,29.88,BD047X4,US76116A3068,New York Stock Exchange Inc.,REN:US,3,USD,0.18,0.15,0.21,0.05,0.01,0.05
LSCC,LATTICE SEMICONDUCTOR CORP,US,Russell 2000,5.48,2506658,US5184151042,NASDAQ,LSCC:US,3,USD,0.07,0.01,0.06,0.21,0.05,0.02
SSNI,SILVER SPRING NETWORKS INC,US,Russell 2000,16.13,B8FMDV8,US82817Q1031,New York Stock Exchange Inc.,SSNI:US,3,USD,0.01,0.11,0.01,0.01,0.06,0.21
NMIH,NMI HOLDINGS INC CLASS A,US,Russell 2000,11.6,BGDW5G5,US6292093050,NASDAQ,NMIH:US,3,USD,0.09,0.02,0.14,0.19,0.1,0.17
CTBI,COMMUNITY TRUST BANCORP INC TRUST,US,Russell 2000,43.15,2706470,US2041491083,NASDAQ,CTBI:US,3,USD,0.13,0.2,0.21,0.05,0.11,0.05
SD,SANDRIDGE ENERGY INC,US,Russell 2000,19.08,BD1XH30,US80007P8692,New York Stock Exchange Inc.,SD:US,3,USD,0.03,0.07,0.17,0.04,0.08,0.14
CASS,CASS INFORMATION SYSTEMS INC,US,Russell 2000,60.96,2086558,US14808P1093,NASDAQ,CASS:US,3,USD,0.18,0.21,0.1,0.17,0.11,0.16
IRTC,IRHYTHM TECHNOLOGIES INC,US,Russell 2000,48.38,BYT4ST5,US4500561067,NASDAQ,IRTC:US,3,USD,0.13,0.09,0.09,0.14,0.05,0.01
CNOB,CONNECTONE BANCORP INC,US,Russell 2000,22.1,BNQ4YF9,US20786W1071,NASDAQ,CNOB:US,3,USD,0.05,0.22,0.11,0.2,0.09,0.16
COBZ,COBIZ FINANCIAL INC,US,Russell 2000,17.65,2257752,US1908971088,NASDAQ,COBZ:US,3,USD,0.15,0.13,0.04,0.19,0.1,0.13
FLIC,FIRST OF LONG ISLAND CORP,US,Russell 2000,28.45,2355913,US3207341062,NASDAQ,FLIC:US,3,USD,0.15,0.08,0.05,0.18,0.01,0.09
UVE,UNIVERSAL INSURANCE HOLDINGS INC,US,Russell 2000,20.65,2912374,US91359V1070,New York Stock Exchange Inc.,UVE:US,3,USD,0.11,0.02,0.09,0.1,0.03,0.12
NYLDA,NRG YIELD INC CLASS A,US,Russell 2000,18.58,BWG0966,US62942X3061,New York Stock Exchange Inc.,NYLDA:US,3,USD,0.11,0.01,0.22,0.19,0.09,0.19
ANGO,ANGIODYNAMICS INC,US,Russell 2000,17.88,B00CR04,US03475V1017,NASDAQ,ANGO:US,3,USD,0.12,0.05,0.05,0.11,0.04,0.17
USNA,USANA HEALTH SCIENCES INC,US,Russell 2000,57.35,2267698,US90328M1071,New York Stock Exchange Inc.,USNA:US,3,USD,0.1,0.2,0.09,0.18,0.14,0.1
RATE,BANKRATE INC,US,Russell 2000,13.9,B4WDWB9,US06647F1021,New York Stock Exchange Inc.,RATE:US,3,USD,0.2,0.04,0.22,0.08,0.17,0.1
KBAL,KIMBALL INTERNATIONAL INC CLASS B,US,Russell 2000,17.88,2491635,US4942741038,NASDAQ,KBAL:US,3,USD,0.13,0.2,0.22,0.05,0.16,0.1
NANO,NANOMETRICS INC,US,Russell 2000,27.42,2622220,US6300771051,NASDAQ,NANO:US,3,USD,0.07,0.05,0.15,0.03,0.08,0.14
FPO,FIRST POTOMAC REALTY TRUST REIT TR,US,Russell 2000,11.14,2041450,US33610F1093,New York Stock Exchange Inc.,FPO:US,3,USD,0.17,0.07,0.09,0.08,0.17,0.21
AMAG,AMAG PHARMACEUTICALS INC,US,Russell 2000,19.05,2008121,US00163U1060,NASDAQ,AMAG:US,3,USD,0.05,0.17,0.22,0.15,0.13,0.18
ALDR,ALDER BIOPHARMACEUTICALS INC,US,Russell 2000,10.35,BLZHCS4,US0143391052,NASDAQ,ALDR:US,3,USD,0.21,0.07,0.1,0.1,0.14,0.19
RRD,RR DONNELLEY AND SONS,US,Russell 2000,9.38,BYND5W0,US2578672006,New York Stock Exchange Inc.,RRD:US,3,USD,0.09,0.02,0.11,0.08,0.08,0.08
PARR,PAR PACIFIC HOLDINGS INC,US,Russell 2000,19.86,BJH08C3,US69888T2078,Nyse Mkt Llc,PARR:US,3,USD,0.22,0.07,0.06,0.19,0.19,0.1
CSTE,CAESARSTONE LTD,US,Russell 2000,28.65,B796245,IL0011259137,NASDAQ,CSTE:US,3,USD,0.19,0.05,0.14,0.2,0.22,0.07
REI,RING ENERGY INC,US,Russell 2000,12.97,B1TGYD6,US76680V1089,Nyse Mkt Llc,REI:US,3,USD,0.19,0.08,0.14,0.01,0.19,0.16
GLRE,GREENLIGHT CAPITAL A LTD,US,Russell 2000,20.8,B1XRCZ3,KYG4095J1094,NASDAQ,GLRE:US,3,USD,0.07,0.02,0.22,0.1,0.22,0.16
DHIL,DIAMOND HILL INVESTMENT GROUP INC,US,Russell 2000,200.62,2801137,US25264R2076,NASDAQ,DHIL:US,3,USD,0.07,0.09,0.1,0.18,0.18,0.12
SP,SP PLUS CORP,US,Russell 2000,37.2,BH2QZH6,US78469C1036,NASDAQ,SP:US,3,USD,0.01,0.02,0.16,0.06,0.09,0.11
UBA,URSTADT BIDDLE PROPERTIES REIT INC,US,Russell 2000,21.56,2256522,US9172862057,New York Stock Exchange Inc.,UBA:US,3,USD,0.09,0.15,0.13,0.22,0.21,0.08
CHUBK,COMMERCEHUB SERIES C INC,US,Russell 2000,21.98,BZ76T20,US20084V3069,NASDAQ,CHUBK:US,3,USD,0.19,0.18,0.09,0.15,0.1,0.09
VSAR,VERSARTIS INC,US,Russell 2000,19.6,BKRCP47,US92529L1026,NASDAQ,VSAR:US,3,USD,0.04,0.15,0.21,0.17,0.2,0.15
ORIT,ORITANI FINANCIAL CORP,US,Russell 2000,16.2,B3SLD95,US68633D1037,NASDAQ,ORIT:US,3,USD,0.08,0.22,0.12,0.19,0.1,0.18
ATKR,ATKORE INTERNATIONAL GROUP INC,US,Russell 2000,18.75,BDHF495,US0476491081,New York Stock Exchange Inc.,ATKR:US,3,USD,0.09,0.07,0.09,0.18,0.06,0.12
CASH,META FINANCIAL GROUP INC,US,Russell 2000,71.25,2420316,US59100U1088,NASDAQ,CASH:US,3,USD,0.22,0.04,0.12,0.06,0.01,0.19
CSWI,CSW INDUSTRIALS INC,US,Russell 2000,43.7,BYQD1J6,US1264021064,NASDAQ,CSWI:US,3,USD,0.07,0.15,0.03,0.05,0.13,0.17
CTWS,CONNECTICUT WATER SERVICE INC,US,Russell 2000,56.59,2216258,US2077971016,NASDAQ,CTWS:US,3,USD,0.15,0.03,0.07,0.2,0.22,0.04
ATRO,ASTRONICS CORP,US,Russell 2000,28.79,2060518,US0464331083,NASDAQ,ATRO:US,3,USD,0.04,0.11,0.11,0.16,0.1,0.11
CAC,CAMDEN NATIONAL CORP,US,Russell 2000,40.94,2116659,US1330341082,NASDAQ,CAC:US,3,USD,0.12,0.02,0.1,0.05,0.2,0.15
SSTK,SHUTTERSTOCK INC,US,Russell 2000,34.02,B7ZR219,US8256901005,New York Stock Exchange Inc.,SSTK:US,3,USD,0.13,0.16,0.15,0.17,0.05,0.19
KERX,KERYX BIOPHARMACEUTICALS INC,US,Russell 2000,7.04,2613376,US4925151015,NASDAQ,KERX:US,3,USD,0.19,0.19,0.19,0.07,0.09,0.01
KLDX,KLONDEX MINES LTD,US,Russell 2000,3.59,B3BHVZ2,CA4986961031,Nyse Mkt Llc,KLDX:US,3,USD,0.1,0.11,0.17,0.08,0.16,0.19
ATW,ATWOOD OCEANICS INC,US,Russell 2000,8.15,2062440,US0500951084,New York Stock Exchange Inc.,ATW:US,3,USD,0.19,0.04,0.1,0.11,0.07,0.1
QUAD,QUAD GRAPHICS INC CLASS A,US,Russell 2000,19.83,B3YM983,US7473011093,New York Stock Exchange Inc.,QUAD:US,3,USD,0.05,0.21,0.12,0.15,0.13,0.09
COHU,COHU INC,US,Russell 2000,23.2,2208426,US1925761066,NASDAQ,COHU:US,3,USD,0.01,0.04,0.16,0.22,0.02,0.15
GNC,GNC HOLDINGS INC CLASS A,US,Russell 2000,9.16,B3VLKV3,US36191G1076,New York Stock Exchange Inc.,GNC:US,3,USD,0.04,0.01,0.03,0.05,0.1,0.1
TELL,TELLURIAN INC,US,Russell 2000,10.92,BD3DWD3,US87968A1043,NASDAQ,TELL:US,3,USD,0.07,0.11,0.17,0.08,0.15,0.02
SNC,STATE NATIONAL COMPANIES INC,US,Russell 2000,20.91,BSHYJF8,US85711T3059,NASDAQ,SNC:US,3,USD,0.17,0.08,0.19,0.04,0.12,0.2
IXYS,IXYS CORP,US,Russell 2000,23.25,2243591,US46600W1062,NASDAQ,IXYS:US,3,USD,0.07,0.02,0.11,0.06,0.11,0.12
AHH,ARMADA HOFFLER PROPERTIES REIT INC,US,Russell 2000,13.59,B96FTB5,US04208T1088,New York Stock Exchange Inc.,AHH:US,3,USD,0.12,0.21,0.03,0.18,0.01,0.01
TR,TOOTSIE ROLL INDUSTRIES INC,US,Russell 2000,37.65,2896809,US8905161076,New York Stock Exchange Inc.,TR:US,3,USD,0.06,0.22,0.01,0.08,0.03,0.13
MSEX,MIDDLESEX WATER,US,Russell 2000,39.34,2589466,US5966801087,NASDAQ,MSEX:US,3,USD,0.14,0.16,0.07,0.19,0.12,0.13
AVD,AMER VANGUARD CORP,US,Russell 2000,21.6,2025711,US0303711081,New York Stock Exchange Inc.,AVD:US,3,USD,0.11,0.06,0.02,0.2,0.16,0.08
PRFT,PERFICIENT INC,US,Russell 2000,18.2,2442547,US71375U1016,NASDAQ,PRFT:US,3,USD,0.06,0.16,0.17,0.04,0.14,0.13
PRO,PROS HOLDINGS INC,US,Russell 2000,23.58,B1YWQK0,US74346Y1038,New York Stock Exchange Inc.,PRO:US,3,USD,0.04,0.22,0.18,0.01,0.11,0.13
HMST,HOMESTREET INC,US,Russell 2000,25.25,B4WHS46,US43785V1026,NASDAQ,HMST:US,3,USD,0.04,0.22,0.18,0.08,0.18,0.17
BCEI,BONANZA CREEK ENERGY INC,US,Russell 2000,30.71,BYXGJD8,US0977934001,New York Stock Exchange Inc.,BCEI:US,3,USD,0.16,0.15,0.01,0.11,0.06,0.14
LORL,LORAL SPACE AND COMMUNICATIONS INC,US,Russell 2000,47.15,B0LXSR0,US5438811060,NASDAQ,LORL:US,3,USD,0.15,0.16,0.11,0.1,0.2,0.22
CUNB,CU BANCORP,US,Russell 2000,36.95,B8Q8Q94,US1265341065,NASDAQ,CUNB:US,3,USD,0.01,0.15,0.14,0.01,0.09,0.07
DCOM,DIME COMMUNITY BANCSHARES INC,US,Russell 2000,19.5,2034148,US2539221083,NASDAQ,DCOM:US,3,USD,0.17,0.07,0.06,0.08,0.16,0.07
CUDA,BARRACUDA NETWORKS INC,US,Russell 2000,24.47,BFZCHY8,US0683231049,New York Stock Exchange Inc.,CUDA:US,3,USD,0.02,0.12,0.13,0.13,0.06,0.12
KNSL,KINSALE CAPITAL GROUP INC,US,Russell 2000,42.01,BD1MGQ3,US49714P1084,NASDAQ,KNSL:US,3,USD,0.07,0.12,0.21,0.17,0.16,0.11
BJRI,BJS RESTAURANTS INC,US,Russell 2000,29.15,2200552,US09180C1062,NASDAQ,BJRI:US,3,USD,0.1,0.05,0.2,0.17,0.19,0.02
RXDX,IGNYTA INC,US,Russell 2000,12.25,BG6N9H4,US4517311035,NASDAQ,RXDX:US,3,USD,0.11,0.09,0.06,0.15,0.16,0.19
MHO,M I HOMES INC,US,Russell 2000,25.49,2549385,US55305B1017,New York Stock Exchange Inc.,MHO:US,3,USD,0.15,0.16,0.03,0.2,0.09,0.01
FOR,FORESTAR GROUP INC,US,Russell 2000,17.3,B29YGD1,US3462331097,New York Stock Exchange Inc.,FOR:US,3,USD,0.09,0.17,0.07,0.12,0.14,0.03
LDR,LANDAUER INC,US,Russell 2000,67.8,2879714,US51476K1034,New York Stock Exchange Inc.,LDR:US,3,USD,0.22,0.05,0.07,0.04,0.09,0.08
